id;pos_documento
11;[[['A', 'segurança', 'cibernética', 'não', 'é', 'um', 'estado', 'permanente', ',', 'mas', 'sim', 'um', 'processo', 'contínuo', ',', 'que', 'exige', 'adaptação', 'constante', 'diante', 'de', 'novas', 'ameaças', 'que', 'surgem', 'diariamente', ',', 'impulsionadas', 'pela', 'criatividade', 'e', 'persistência', 'dos', 'criminosos', 'digitais', '.'], ['DET', 'NOUN', 'ADJ', 'ADV', 'AUX', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'PRON', 'VERB', 'NOUN', 'ADJ', 'ADV', 'ADP', 'ADJ', 'NOUN', 'PRON', 'VERB', 'ADV', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['exige', 'surgem', 'impulsionadas'], ['o', 'segurança', 'cibernético', 'não', 'ser', 'um', 'estado', 'permanente', ',', 'mas', 'sim', 'um', 'processo', 'contínuo', ',', 'que', 'exigir', 'adaptação', 'constante', 'diante', 'de', 'novo', 'ameaça', 'que', 'surgir', 'diariamente', ',', 'impulsionar', 'por o', 'criatividade', 'e', 'persistência', 'de o', 'criminoso', 'digital', '.']]]
12;[[['Empresas', 'inovadoras', 'investem', 'em', 'inteligência', 'artificial', 'e', 'aprendizado', 'de', 'máquina', 'para', 'identificar', 'padrões', 'suspeitos', 'e', 'prevenir', 'ataques', ',', 'criando', 'sistemas', 'capazes', 'de', 'reagir', 'rapidamente', 'a', 'comportamentos', 'anômalos', 'em', 'redes', 'corporativas', 'e', 'pessoais', '.'], ['NOUN', 'ADJ', 'VERB', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'ADV', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT'], ['investem', 'identificar', 'prevenir', 'criando', 'reagir'], ['empresa', 'inovadoro', 'investir', 'em', 'inteligência', 'artificial', 'e', 'aprendizado', 'de', 'máquina', 'para', 'identificar', 'padrão', 'suspeito', 'e', 'prevenir', 'ataque', ',', 'criar', 'sistema', 'capaz', 'de', 'reagir', 'rapidamente', 'a', 'comportamento', 'anômalo', 'em', 'rede', 'corporativo', 'e', 'pessoal', '.']]]
13;[[['A', 'colaboração', 'entre', 'setores', 'público', 'e', 'privado', 'é', 'indispensável', ',', 'pois', 'apenas', 'com', 'esforços', 'conjuntos', 'é', 'possível', 'criar', 'estratégias', 'abrangentes', 'que', 'protejam', 'cidadãos', ',', 'empresas', 'e', 'governos', 'contra', 'ameaças', 'cada', 'vez', 'mais', 'sofisticadas', 'e', 'globais', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'AUX', 'ADJ', 'PUNCT', 'SCONJ', 'ADV', 'ADP', 'NOUN', 'ADJ', 'AUX', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'PRON', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'PUNCT'], ['é indispensável', 'criar', 'protejam'], ['o', 'colaboração', 'entre', 'setor', 'público', 'e', 'privado', 'ser', 'indispensável', ',', 'pois', 'apenas', 'com', 'esforço', 'conjunto', 'ser', 'possível', 'criar', 'estratégia', 'abrangente', 'que', 'protejir', 'cidadão', ',', 'empresa', 'e', 'governo', 'contra', 'ameaça', 'cada', 'vez', 'mais', 'sofisticado', 'e', 'global', '.']]]
14;[[['A', 'confiança', 'no', 'ambiente', 'digital', 'depende', 'diretamente', 'da', 'segurança', 'cibernética', ',', 'pois', 'sem', 'ela', 'não', 'seria', 'possível', 'realizar', 'transações', 'bancárias', 'online', ',', 'compartilhar', 'informações', 'confidenciais', 'ou', 'desenvolver', 'inovações', 'tecnológicas', 'em', 'escala', 'global', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'ADV', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'SCONJ', 'ADP', 'PRON', 'ADV', 'AUX', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'PROPN', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADJ', 'PUNCT'], ['depende', 'realizar', 'compartilhar', 'desenvolver'], ['o', 'confiança', 'em o', 'ambiente', 'digital', 'depender', 'diretamente', 'de o', 'segurança', 'cibernético', ',', 'pois', 'sem', 'ela', 'não', 'ser', 'possível', 'realizar', 'transação', 'bancário', 'online', ',', 'compartilhar', 'informação', 'confidencial', 'ou', 'desenvolver', 'inovação', 'tecnológico', 'em', 'escala', 'global', '.']]]
15;[[['Investir', 'em', 'segurança', 'digital', 'é', 'investir', 'no', 'futuro', ',', 'garantindo', 'que', 'a', 'sociedade', 'possa', 'usufruir', 'dos', 'benefícios', 'da', 'tecnologia', 'sem', 'estar', 'constantemente', 'vulnerável', 'a', 'ataques', 'que', 'podem', 'comprometer', 'vidas', ',', 'negócios', 'e', 'governos', '.'], ['VERB', 'ADP', 'NOUN', 'ADJ', 'AUX', 'VERB', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'SCONJ', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'AUX', 'ADV', 'ADJ', 'ADP', 'NOUN', 'PRON', 'VERB', 'VERB', 'NOUN', 'PUNCT', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT'], ['Investir', 'investir', 'garantindo', 'possa usufruir', 'podem comprometer'], ['investir', 'em', 'segurança', 'digital', 'ser', 'investir', 'em o', 'futuro', ',', 'garantir', 'que', 'o', 'sociedade', 'poder', 'usufruir', 'de o', 'benefício', 'de o', 'tecnologia', 'sem', 'estar', 'constantemente', 'vulnerável', 'a', 'ataque', 'que', 'poder', 'comprometer', 'vida', ',', 'negócio', 'e', 'governo', '.']]]
16;[[['A', 'cultura', 'de', 'segurança', 'deve', 'ser', 'incorporada', 'em', 'todos', 'os', 'níveis', 'da', 'sociedade', ',', 'desde', 'escolas', 'que', 'ensinam', 'boas', 'práticas', 'digitais', 'até', 'empresas', 'que', 'treinam', 'seus', 'funcionários', 'para', 'receber', 'e', 'evitar', 'ameaças', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'VERB', 'ADP', 'DET', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADP', 'NOUN', 'PRON', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'SCONJ', 'VERB', 'CCONJ', 'VERB', 'NOUN', 'PUNCT'], ['deve ser incorporada', 'ensinam', 'treinam', 'receber', 'evitar'], ['o', 'cultura', 'de', 'segurança', 'dever', 'ser', 'incorporar', 'em', 'todo', 'o', 'nível', 'de o', 'sociedade', ',', 'desde', 'escola', 'que', 'ensinar', 'bom', 'prática', 'digital', 'até', 'empresa', 'que', 'treinar', 'seu', 'funcionário', 'para', 'receber', 'e', 'evitar', 'ameaça', '.']]]
17;[[['A', 'engenharia', 'social', 'continua', 'sendo', 'uma', 'das', 'maiores', 'armas', 'dos', 'criminosos', ',', 'explorando', 'a', 'ingenuidade', 'ou', 'distração', 'das', 'pessoas', 'para', 'obter', 'acesso', 'a', 'informações', 'valiosas', ',', 'mostrando', 'que', 'a', 'segurança', 'depende', 'tanto', 'de', 'comportamento', 'quanto', 'de', 'tecnologia', '.'], ['DET', 'NOUN', 'ADJ', 'VERB', 'AUX', 'NUM', 'ADP', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'VERB', 'DET', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'SCONJ', 'DET', 'NOUN', 'VERB', 'ADV', 'ADP', 'NOUN', 'ADV', 'ADP', 'NOUN', 'PUNCT'], ['continua sendo', 'explorando', 'obter', 'mostrando', 'depende'], ['o', 'engenharia', 'social', 'continuar', 'ser', 'um', 'de o', 'grande', 'arma', 'de o', 'criminoso', ',', 'explorar', 'o', 'ingenuidade', 'ou', 'distração', 'de o', 'pessoa', 'para', 'obter', 'acesso', 'a', 'informação', 'valioso', ',', 'mostrar', 'que', 'o', 'segurança', 'depender', 'tanto', 'de', 'comportamento', 'quanto', 'de', 'tecnologia', '.']]]
18;[[['O', 'uso', 'de', 'senhas', 'fortes', 'e', 'únicas', 'para', 'cada', 'serviço', 'é', 'uma', 'prática', 'simples', ',', 'mas', 'muitas', 'vezes', 'negligenciada', ',', 'que', 'pode', 'evitar', 'invasões', 'e', 'proteger', 'dados', 'pessoais', 'contra', 'acessos', 'não', 'autorizados', '.'], ['DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'CCONJ', 'ADJ', 'ADP', 'DET', 'NOUN', 'AUX', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'CCONJ', 'DET', 'NOUN', 'VERB', 'PUNCT', 'PRON', 'VERB', 'VERB', 'NOUN', 'CCONJ', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'ADV', 'VERB', 'PUNCT'], ['negligenciada', 'pode evitar', 'proteger', 'autorizados'], ['o', 'uso', 'de', 'senha', 'forte', 'e', 'único', 'para', 'cada', 'serviço', 'ser', 'um', 'prática', 'simples', ',', 'mas', 'muito', 'vez', 'negligenciar', ',', 'que', 'poder', 'evitar', 'invasão', 'e', 'proteger', 'dado', 'pessoal', 'contra', 'acesso', 'não', 'autorizar', '.']]]
19;[[['A', 'autenticação', 'multifatorial', 'é', 'outra', 'ferramenta', 'poderosa', ',', 'adicionando', 'camadas', 'extras', 'de', 'proteção', 'que', 'dificultam', 'a', 'ação', 'de', 'invasores', ',', 'mesmo', 'que', 'consigam', 'obter', 'senhas', 'por', 'meio', 'de', 'ataques', 'ou', 'vazamentos', '.'], ['DET', 'NOUN', 'ADJ', 'AUX', 'DET', 'NOUN', 'ADJ', 'PUNCT', 'VERB', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'ADV', 'SCONJ', 'VERB', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT'], ['adicionando', 'dificultam', 'consigam obter'], ['o', 'autenticação', 'multifatorial', 'ser', 'outro', 'ferramenta', 'poderoso', ',', 'adicionar', 'camada', 'extr', 'de', 'proteção', 'que', 'dificultar', 'o', 'ação', 'de', 'invasor', ',', 'mesmo', 'que', 'consigir', 'obter', 'senha', 'por', 'meio', 'de', 'ataque', 'ou', 'vazamento', '.']]]
20;[[['Empresas', 'que', 'não', 'investem', 'em', 'segurança', 'digital', 'correm', 'riscos', 'não', 'apenas', 'financeiros', ',', 'mas', 'também', 'reputacionais', ',', 'pois', 'a', 'perda', 'de', 'confiança', 'dos', 'clientes', 'pode', 'ser', 'devastadora', 'e', 'difícil', 'de', 'recuperar', '.'], ['NOUN', 'PRON', 'ADV', 'VERB', 'ADP', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADV', 'ADV', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'ADJ', 'PUNCT', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'ADJ', 'CCONJ', 'ADJ', 'SCONJ', 'VERB', 'PUNCT'], ['investem', 'correm', 'pode ser', 'recuperar'], ['empresa', 'que', 'não', 'investir', 'em', 'segurança', 'digital', 'correr', 'risco', 'não', 'apenas', 'financeiro', ',', 'mas', 'também', 'reputacional', ',', 'pois', 'o', 'perda', 'de', 'confiança', 'de o', 'cliente', 'poder', 'ser', 'devastador', 'e', 'difícil', 'de', 'recuperar', '.']]]
21;[[['A', 'segurança', 'cibernética', 'também', 'envolve', 'proteção', 'contra', 'espionagem', 'industrial', ',', 'onde', 'concorrentes', 'podem', 'tentar', 'roubar', 'segredos', 'comerciais', 'ou', 'informações', 'estratégicas', 'para', 'obter', 'vantagens', 'no', 'mercado', '.'], ['DET', 'NOUN', 'ADJ', 'ADV', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PUNCT', 'PRON', 'NOUN', 'VERB', 'VERB', 'VERB', 'NOUN', 'ADJ', 'CCONJ', 'NOUN', 'ADJ', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT'], ['envolve', 'podem tentar roubar', 'obter'], ['o', 'segurança', 'cibernético', 'também', 'envolver', 'proteção', 'contra', 'espionagem', 'industrial', ',', 'onde', 'concorrente', 'poder', 'tentar', 'roubar', 'segredo', 'comercial', 'ou', 'informação', 'estratégico', 'para', 'obter', 'vantagem', 'em o', 'mercado', '.']]]
